,Datetime,Open,High,Low,Close,Volume
0,2022-10-03T11:13:00,36.0,36.0,36.0,36.0,975
1,2022-10-10T12:08:00,34.0,34.0,34.0,34.0,975
2,2022-10-10T13:05:00,36.0,36.0,36.0,36.0,975
3,2022-10-11T09:25:00,35.0,35.0,35.0,35.0,975
4,2022-10-11T10:14:00,32.0,32.0,32.0,32.0,975
5,2022-10-11T10:35:00,30.95,30.95,30.95,30.95,975
6,2022-10-11T12:34:00,31.2,31.2,31.2,31.2,975
7,2022-10-11T13:34:00,29.2,29.2,29.2,29.2,975
8,2022-10-11T13:37:00,28.0,28.0,28.0,28.0,975
9,2022-10-11T14:16:00,28.25,28.8,28.25,28.8,1950
10,2022-10-11T14:39:00,28.75,28.75,28.75,28.75,975
11,2022-10-12T09:20:00,28.75,28.75,28.75,28.75,975
12,2022-10-12T10:39:00,34.25,34.25,34.25,34.25,975
13,2022-10-12T10:43:00,27.5,27.5,27.5,27.5,975
14,2022-10-12T11:27:00,28.0,28.0,28.0,28.0,975
15,2022-10-12T12:10:00,27.9,27.9,27.9,27.9,975
16,2022-10-12T12:17:00,27.9,27.9,27.9,27.9,975
17,2022-10-12T12:51:00,29.45,29.45,29.45,29.45,975
18,2022-10-12T13:06:00,28.65,28.65,28.65,28.65,975
19,2022-10-12T13:35:00,28.0,28.0,28.0,28.0,975
20,2022-10-12T14:38:00,29.5,29.5,29.5,29.5,975
21,2022-10-12T14:54:00,29.5,29.5,29.5,29.5,975
22,2022-10-12T15:05:00,30.0,30.0,30.0,30.0,1950
23,2022-10-13T10:00:00,28.1,28.1,28.1,28.1,975
24,2022-10-13T10:08:00,28.95,28.95,28.5,28.5,1950
25,2022-10-13T10:13:00,28.5,28.5,28.5,28.5,975
26,2022-10-13T10:48:00,31.75,31.75,31.75,31.75,975
27,2022-10-13T10:53:00,31.9,31.9,31.9,31.9,975
28,2022-10-13T11:18:00,32.5,32.5,32.5,32.5,975
29,2022-10-13T12:03:00,32.0,32.0,32.0,32.0,975
30,2022-10-13T12:28:00,31.5,31.5,31.5,31.5,975
31,2022-10-13T12:46:00,33.2,33.2,33.2,33.2,975
32,2022-10-13T12:52:00,33.45,33.45,33.45,33.45,975
33,2022-10-13T12:56:00,33.5,33.5,33.5,33.5,975
34,2022-10-13T13:04:00,33.0,33.0,33.0,33.0,975
35,2022-10-13T13:14:00,31.5,31.5,31.5,31.5,975
36,2022-10-13T13:33:00,31.5,31.5,31.5,31.5,975
37,2022-10-13T13:35:00,32.3,32.3,32.3,32.3,975
38,2022-10-13T14:06:00,33.2,33.2,33.2,33.2,975
39,2022-10-13T14:11:00,33.7,35.0,33.7,35.0,1950
40,2022-10-13T14:26:00,36.2,36.2,36.2,36.2,975
41,2022-10-14T10:02:00,36.0,36.0,36.0,36.0,975
42,2022-10-14T10:27:00,35.8,35.8,35.8,35.8,975
43,2022-10-14T14:23:00,33.4,33.4,33.4,33.4,975
44,2022-10-14T15:01:00,32.2,32.2,32.2,32.2,1950
45,2022-10-14T15:20:00,33.5,33.5,33.5,33.5,975
